kegg.module,module_name
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00141,"C1-unit interconversion, eukaryotes"
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00141,"C1-unit interconversion, eukaryotes"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
M00532,Photorespiration
M00157,"F-type ATPase, prokaryotes and chloroplasts"
M00158,"F-type ATPase, eukaryotes"
M00159,"V/A-type ATPase, prokaryotes"
M00160,"V-type ATPase, eukaryotes"
M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00012,Glyoxylate cycle
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
